Date,Source,Category,Amount,Taxable,Notes
2026-02-09,Interest Credit,Dividends,138076.45,No,Seed 194
2024-06-03,Rental Transfer,Freelance,97600.39,Yes,Seed 195
2024-04-01,Rental Transfer,Dividends,96960.22,No,Seed 196
2023-11-27,Interest Credit,Dividends,126917.32,No,Seed 197
2023-06-30,Employer Payroll,Freelance,138142.42,No,Seed 198
2022-10-18,Freelance Project,Dividends,185067.81,No,Seed 199
2023-07-04,Employer Payroll,Freelance,25070.98,No,Seed 200
2024-03-02,Consulting Client,Other,17524.96,Yes,Seed 201
2025-08-24,Employer Payroll,Other,56964.22,Yes,Seed 202
2024-12-14,Consulting Client,Dividends,97200.65,No,Seed 203
2022-04-27,Consulting Client,Salary,75116.73,No,Seed 204
2024-07-05,Employer Payroll,Business,49173.84,No,Seed 205
2022-06-27,Consulting Client,Other,32197.5,Yes,Seed 206
2023-02-08,Interest Credit,Freelance,104532.23,Yes,Seed 207
2022-01-19,Interest Credit,Business,140679.79,Yes,Seed 208
2025-10-05,Freelance Project,Salary,205117.5,Yes,Seed 209
2026-01-12,Rental Transfer,Business,134720.93,Yes,Seed 210
2024-08-03,Rental Transfer,Freelance,154967.3,No,Seed 211
2025-01-13,Rental Transfer,Business,127422.27,No,Seed 212
2022-12-03,Interest Credit,Rental,67381.92,Yes,Seed 213
2022-07-07,Rental Transfer,Rental,102310.77,No,Seed 214
2024-10-04,Consulting Client,Freelance,143755.64,Yes,Seed 215
2023-05-12,Rental Transfer,Freelance,151417.94,Yes,Seed 216
2022-02-20,Freelance Project,Freelance,195550.16,No,Seed 217
2024-01-29,Employer Payroll,Interest,53958.58,No,Seed 218
2024-01-26,Consulting Client,Salary,197128.83,No,Seed 219
2024-02-08,Interest Credit,Rental,190446.84,No,Seed 220
2023-03-06,Consulting Client,Salary,135110.86,Yes,Seed 221
2023-10-11,Consulting Client,Dividends,219578.67,No,Seed 222
2023-03-31,Freelance Project,Dividends,90528.59,No,Seed 223
2025-03-04,Employer Payroll,Rental,196229.94,No,Seed 224
2024-09-02,Freelance Project,Rental,170259.82,No,Seed 225
2024-11-12,Consulting Client,Interest,142583.14,Yes,Seed 226
2023-03-28,Freelance Project,Rental,154394.19,No,Seed 227
2023-08-27,Rental Transfer,Business,187069.57,No,Seed 228
2024-07-23,Employer Payroll,Interest,39629.16,No,Seed 229
2025-02-20,Consulting Client,Rental,53794.87,Yes,Seed 230
2025-06-29,Consulting Client,Interest,115134.79,Yes,Seed 231
2025-06-16,Interest Credit,Business,12069.86,Yes,Seed 232
2025-04-19,Consulting Client,Rental,200225.69,No,Seed 233
2025-09-13,Rental Transfer,Salary,129877.15,Yes,Seed 234
2024-10-03,Employer Payroll,Freelance,183652.95,Yes,Seed 235
2024-09-23,Freelance Project,Other,109048.28,No,Seed 236
2024-08-17,Employer Payroll,Rental,137403.95,Yes,Seed 237
2023-10-29,Interest Credit,Business,33811.89,No,Seed 238
2025-11-25,Freelance Project,Salary,197113.4,No,Seed 239
2023-03-24,Rental Transfer,Other,60369.56,No,Seed 240
2022-09-06,Consulting Client,Rental,3590.22,No,Seed 241
2023-06-17,Employer Payroll,Business,208699.51,No,Seed 242
2025-02-01,Rental Transfer,Other,141723.78,No,Seed 243
2025-08-28,Rental Transfer,Freelance,95356.56,Yes,Seed 244
2022-04-01,Interest Credit,Business,118853.37,No,Seed 245
2025-10-10,Interest Credit,Rental,66169.43,No,Seed 246
2023-12-23,Freelance Project,Salary,108646.78,Yes,Seed 247
2022-12-03,Employer Payroll,Rental,77693.9,Yes,Seed 248
2024-06-06,Rental Transfer,Salary,72750.24,Yes,Seed 249
2024-04-24,Rental Transfer,Other,115424.63,No,Seed 250
2023-03-16,Consulting Client,Freelance,155638.86,No,Seed 251
2024-12-13,Rental Transfer,Other,9411.06,Yes,Seed 252
2025-04-14,Rental Transfer,Interest,12337.09,Yes,Seed 253
2022-12-24,Employer Payroll,Freelance,118778.85,Yes,Seed 254
2025-03-20,Rental Transfer,Business,136577.9,Yes,Seed 255
2025-12-04,Rental Transfer,Rental,139615.17,Yes,Seed 256
2024-01-17,Interest Credit,Interest,176785.4,No,Seed 257
2023-01-07,Consulting Client,Freelance,187248.3,Yes,Seed 258
2025-01-17,Employer Payroll,Rental,53977.48,Yes,Seed 259
2025-08-22,Rental Transfer,Salary,194988.77,No,Seed 260
2025-09-17,Interest Credit,Interest,15583.02,No,Seed 261
2023-11-16,Employer Payroll,Other,56008.07,Yes,Seed 262
2023-09-06,Rental Transfer,Business,164133.86,No,Seed 263
2022-04-30,Rental Transfer,Salary,66725.2,Yes,Seed 264
2023-06-14,Rental Transfer,Freelance,113598.64,No,Seed 265
2025-02-14,Interest Credit,Other,14506.89,Yes,Seed 266
2024-04-13,Freelance Project,Freelance,29933.48,Yes,Seed 267
2024-04-07,Employer Payroll,Business,48195.24,No,Seed 268
2022-03-01,Rental Transfer,Business,133338.99,No,Seed 269
2022-02-13,Consulting Client,Freelance,121607.65,Yes,Seed 270
2024-11-21,Rental Transfer,Salary,9003.01,No,Seed 271
2022-08-10,Freelance Project,Other,11026.29,No,Seed 272
2022-10-18,Rental Transfer,Freelance,157249.3,Yes,Seed 273
2025-12-25,Consulting Client,Freelance,70867.84,No,Seed 274
2025-07-13,Freelance Project,Freelance,32457.12,Yes,Seed 275
2023-06-14,Consulting Client,Interest,63017.85,Yes,Seed 276
2025-03-29,Employer Payroll,Interest,37707.57,Yes,Seed 277
2023-10-17,Consulting Client,Freelance,158710.6,No,Seed 278
2023-06-28,Interest Credit,Rental,94071.24,Yes,Seed 279
2022-04-19,Consulting Client,Interest,157135.4,No,Seed 280
2022-04-13,Rental Transfer,Dividends,160334.45,Yes,Seed 281
2024-08-15,Freelance Project,Other,147936.09,Yes,Seed 282
2023-03-08,Rental Transfer,Salary,156760.06,Yes,Seed 283
2025-06-26,Employer Payroll,Other,110796.44,Yes,Seed 284
2025-09-23,Rental Transfer,Rental,100948.11,No,Seed 285
2024-11-04,Employer Payroll,Salary,35970.01,No,Seed 286
2025-12-20,Freelance Project,Business,126794.05,No,Seed 287
2024-11-20,Employer Payroll,Freelance,21596.39,Yes,Seed 288
2022-06-24,Employer Payroll,Freelance,128163.2,No,Seed 289
2025-07-17,Employer Payroll,Freelance,132141.22,Yes,Seed 290
2025-05-19,Consulting Client,Dividends,163658.36,No,Seed 291
2024-07-26,Rental Transfer,Dividends,5807.73,No,Seed 292
2026-01-09,Interest Credit,Business,51704.96,No,Seed 293
2023-03-07,Freelance Project,Freelance,10704.5,No,Seed 294
2023-02-09,Consulting Client,Business,165124.36,No,Seed 295
2023-09-16,Rental Transfer,Salary,8083.56,No,Seed 296
2022-01-03,Freelance Project,Business,65006.2,Yes,Seed 297
2023-03-08,Freelance Project,Salary,133272.72,No,Seed 298
2024-03-05,Employer Payroll,Salary,139451.67,No,Seed 299
2022-11-04,Rental Transfer,Rental,5152.57,No,Seed 300
2025-10-21,Freelance Project,Rental,81738.34,No,Seed 301
2025-11-06,Rental Transfer,Dividends,114440.8,Yes,Seed 302
2022-03-17,Rental Transfer,Freelance,157822.02,Yes,Seed 303
2023-07-28,Consulting Client,Dividends,60913.63,Yes,Seed 304
2023-09-18,Employer Payroll,Dividends,188333.12,Yes,Seed 305
2023-11-29,Employer Payroll,Business,183872.59,Yes,Seed 306
2022-03-25,Rental Transfer,Freelance,122979.3,Yes,Seed 307
2022-06-24,Interest Credit,Other,33647.07,No,Seed 308
2023-11-11,Interest Credit,Other,210745.53,Yes,Seed 309
2023-06-27,Employer Payroll,Freelance,70233.2,Yes,Seed 310
2022-04-13,Freelance Project,Dividends,86164.95,No,Seed 311
2023-07-15,Consulting Client,Rental,159963.93,No,Seed 312
2022-06-18,Rental Transfer,Interest,72842.78,Yes,Seed 313
2023-06-22,Rental Transfer,Other,72446.08,Yes,Seed 314
2022-03-29,Interest Credit,Other,166758.12,No,Seed 315
2023-12-19,Rental Transfer,Other,191062.32,No,Seed 316
2024-11-23,Rental Transfer,Business,93945.08,Yes,Seed 317
2022-02-23,Consulting Client,Interest,217596.7,Yes,Seed 318
2022-05-17,Consulting Client,Interest,180706.78,Yes,Seed 319
2022-01-19,Interest Credit,Business,193427.19,Yes,Seed 320
2024-08-19,Employer Payroll,Dividends,15174.99,Yes,Seed 321
2025-05-15,Interest Credit,Business,198768.92,No,Seed 322
2025-02-23,Employer Payroll,Rental,129062.65,Yes,Seed 323
2025-01-17,Interest Credit,Other,187357.89,Yes,Seed 324
2025-10-09,Employer Payroll,Business,49836.41,No,Seed 325
2025-08-22,Consulting Client,Salary,176411.02,No,Seed 326
2022-01-11,Consulting Client,Salary,119975.12,Yes,Seed 327
2023-01-06,Interest Credit,Salary,215883.45,No,Seed 328
2023-03-21,Rental Transfer,Other,144595.04,No,Seed 329
2024-02-17,Interest Credit,Dividends,44307.37,No,Seed 330
2024-04-03,Rental Transfer,Business,158953.47,Yes,Seed 331
2025-06-05,Interest Credit,Business,116459.48,Yes,Seed 332
2025-05-09,Interest Credit,Rental,100404.18,No,Seed 333
2023-01-08,Freelance Project,Rental,217089.39,Yes,Seed 334
2023-03-06,Freelance Project,Other,161903.63,Yes,Seed 335
2024-08-30,Consulting Client,Dividends,62792.22,Yes,Seed 336
2022-12-07,Consulting Client,Business,102728.4,Yes,Seed 337
2022-05-08,Interest Credit,Dividends,60765.61,Yes,Seed 338
2025-03-15,Freelance Project,Salary,100288.4,Yes,Seed 339
2023-10-24,Rental Transfer,Other,149652.09,Yes,Seed 340
2024-06-07,Rental Transfer,Salary,119054.69,No,Seed 341
2023-03-30,Freelance Project,Business,177393.89,Yes,Seed 342
2025-07-14,Interest Credit,Salary,150241.68,No,Seed 343
2022-12-11,Rental Transfer,Rental,62808.14,Yes,Seed 344
2024-04-18,Consulting Client,Dividends,94665.6,No,Seed 345
2025-09-03,Interest Credit,Salary,181779.12,No,Seed 346
2025-08-19,Interest Credit,Dividends,9046.5,Yes,Seed 347
2022-05-07,Consulting Client,Rental,27212.11,Yes,Seed 348
2025-01-28,Interest Credit,Freelance,29746.74,No,Seed 349
2025-07-08,Rental Transfer,Interest,187023.57,Yes,Seed 350
2022-11-23,Freelance Project,Business,203776.85,No,Seed 351
2023-10-14,Employer Payroll,Rental,81154.05,No,Seed 352
2024-09-29,Freelance Project,Dividends,116271.71,Yes,Seed 353
2025-02-28,Consulting Client,Dividends,80842.15,No,Seed 354
2023-10-19,Employer Payroll,Interest,34160.84,Yes,Seed 355
2025-08-23,Interest Credit,Other,148413.8,Yes,Seed 356
2026-01-31,Freelance Project,Other,91880.95,Yes,Seed 357
2024-05-06,Rental Transfer,Other,121196.78,No,Seed 358
2023-01-08,Consulting Client,Salary,57843.12,No,Seed 359
2023-02-05,Interest Credit,Salary,124346.75,Yes,Seed 360
2023-05-23,Rental Transfer,Business,133520.63,No,Seed 361
2024-02-08,Interest Credit,Rental,184189.04,Yes,Seed 362
2022-12-25,Freelance Project,Freelance,27381.63,No,Seed 363
2023-07-10,Freelance Project,Business,49769.43,Yes,Seed 364
2025-12-11,Rental Transfer,Business,70218.7,Yes,Seed 365
2025-11-13,Consulting Client,Dividends,186916.84,Yes,Seed 366
2022-12-26,Consulting Client,Interest,61406.37,Yes,Seed 367
2022-10-22,Employer Payroll,Salary,128750.06,No,Seed 368
2022-02-07,Employer Payroll,Rental,40995.79,Yes,Seed 369
2022-01-12,Rental Transfer,Salary,17902.51,Yes,Seed 370
2023-08-06,Consulting Client,Dividends,36598.95,Yes,Seed 371
2025-10-06,Rental Transfer,Rental,38706.89,Yes,Seed 372
2023-01-23,Consulting Client,Rental,95152.46,Yes,Seed 373
2024-01-29,Rental Transfer,Other,131616.01,No,Seed 374
2022-04-08,Employer Payroll,Business,210074.29,No,Seed 375
2022-04-10,Rental Transfer,Interest,76787.79,Yes,Seed 376
2024-03-14,Rental Transfer,Dividends,193707.93,No,Seed 377
2023-09-10,Consulting Client,Interest,18062.95,No,Seed 378
2024-07-31,Interest Credit,Other,166067.53,No,Seed 379
2024-02-05,Interest Credit,Dividends,167559.94,No,Seed 380
2025-12-30,Employer Payroll,Other,147602.57,No,Seed 381
2025-04-03,Employer Payroll,Interest,74259.47,Yes,Seed 382
2023-12-14,Freelance Project,Other,47732.94,Yes,Seed 383
2024-08-03,Consulting Client,Other,117227.46,Yes,Seed 384
2024-11-08,Freelance Project,Rental,144104.91,Yes,Seed 385
2022-10-28,Consulting Client,Interest,28219.41,No,Seed 386
2025-08-09,Interest Credit,Other,198851.0,Yes,Seed 387
2024-05-02,Consulting Client,Business,101892.75,No,Seed 388
2024-01-31,Rental Transfer,Interest,115836.96,Yes,Seed 389
2025-01-18,Consulting Client,Rental,165798.17,Yes,Seed 390
2024-09-23,Rental Transfer,Rental,153545.96,Yes,Seed 391
2022-09-25,Employer Payroll,Salary,126707.58,No,Seed 392
2023-05-11,Rental Transfer,Freelance,7239.21,No,Seed 393
2022-12-12,Rental Transfer,Dividends,147910.29,No,Seed 394
2025-02-11,Consulting Client,Salary,133939.72,No,Seed 395
2025-03-08,Interest Credit,Interest,56447.32,No,Seed 396
2025-10-26,Freelance Project,Rental,182978.54,No,Seed 397
2025-03-20,Freelance Project,Interest,37793.94,Yes,Seed 398
2025-02-02,Rental Transfer,Salary,9763.92,No,Seed 399
2024-06-23,Freelance Project,Business,79571.34,No,Seed 400
2022-01-24,Freelance Project,Freelance,210584.58,No,Seed 401
2025-05-12,Employer Payroll,Interest,139734.58,Yes,Seed 402
2023-04-02,Employer Payroll,Other,35422.29,No,Seed 403
2023-07-01,Interest Credit,Salary,73471.55,Yes,Seed 404
2025-11-17,Interest Credit,Salary,208985.42,No,Seed 405
2023-09-13,Interest Credit,Interest,163331.73,No,Seed 406
2022-04-11,Freelance Project,Other,89698.56,No,Seed 407
2023-05-09,Consulting Client,Freelance,50401.5,Yes,Seed 408
2023-02-09,Employer Payroll,Business,81355.81,Yes,Seed 409
2025-09-16,Interest Credit,Freelance,23148.7,No,Seed 410
2025-10-06,Freelance Project,Salary,130827.88,Yes,Seed 411
2024-11-25,Freelance Project,Dividends,188602.37,Yes,Seed 412
2025-11-29,Freelance Project,Rental,209055.83,Yes,Seed 413
2025-09-27,Interest Credit,Interest,75454.41,No,Seed 414
2024-09-12,Consulting Client,Other,3900.79,No,Seed 415
2022-09-16,Consulting Client,Dividends,145254.29,Yes,Seed 416
2022-07-25,Interest Credit,Business,158065.1,Yes,Seed 417
2026-01-28,Rental Transfer,Interest,162522.78,No,Seed 418
2022-06-17,Interest Credit,Business,213380.13,Yes,Seed 419
2024-04-03,Employer Payroll,Business,73479.77,Yes,Seed 420
2025-03-26,Employer Payroll,Rental,51443.19,Yes,Seed 421
2024-09-21,Freelance Project,Salary,16316.85,Yes,Seed 422
2024-12-20,Rental Transfer,Dividends,127438.8,Yes,Seed 423
2024-12-26,Interest Credit,Other,178357.22,No,Seed 424
2022-01-16,Consulting Client,Rental,85080.13,Yes,Seed 425
2024-12-16,Rental Transfer,Rental,157042.57,Yes,Seed 426
2023-08-20,Employer Payroll,Other,3460.86,No,Seed 427
2023-12-05,Rental Transfer,Business,64598.28,Yes,Seed 428
2024-12-13,Rental Transfer,Rental,133207.06,No,Seed 429
